Unemrate,MWR
1.4,153.4285714
1.5,153.4285714
1.1,153.4285714
1.3,153.4285714
1.3,155.7142857
1.5,155.7142857
1.3,159.1428571
1.9,161
2.6,161
1.8,161
1.4,161
1.5,161
1.1,165.5714286
1.8,165.5714286
0.8,165.5714286
1.7,165.5714286
1,178.9285714
0.7,178.9285714
0.7,178.9285714
0.7,178.9285714
0.6,178.9285714
1,249
0.7,249
0.5,249
1,300
1,300
1.2,300
0.8,300
1.1,300
1.3,300
1.3,300
1,300
1.1,300
1,300
1.1,300
1.1,300
1.2,300
1.6,300
1.1,300
1.5,300
