Unemrate,MWR
1.13,191
1.39,191
1.25,191
1.17,191
1.01,194
1.13,203
1.18,203
1.23,203
1.53,203
1.64,203
1.21,203
1.31,203
1.03,205.2
1.02,205.2
0.59,205.2
0.63,205.2
0.33,215
0.61,215
0.58,215
0.74,215
0.65,215
0.59,300
0.58,300
0.57,300
0.72,300
1.06,300
0.91,300
0.89,300
1.32,300
1.10,300
0.76,300
1.08,300
0.75,300
1.08,300
0.89,300
1.03,300
1.01,300
0.93,300
1.10,300
